zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
20687,7,244.3,20687,B01003_001,360,210,19.444444444444446
20688,2245,37209.47999999994,20688,B01003_001,1170,509,1918.803418803419
20689,49,2773.0099999999993,20689,B01003_001,1884,607,26.008492569002126
20690,735,14588.270000000004,20690,B01003_001,843,318,871.8861209964413
20692,20,1091.63,20692,B01003_001,721,310,27.739251040221916
20693,52,1714.5400000000006,20693,B01003_001,1210,518,42.97520661157025
20695,426,14520.069999999992,20695,B01003_001,11455,1481,37.189000436490616
20701,15,1439.86,20701,B01003_001,794,271,18.891687657430733
20705,805,22559.73999999999,20705,B01003_001,28660,1914,28.087927424982556
20706,1107,29126.840000000055,20706,B01003_001,43797,2670,25.275703815329816
20707,1548,34556.44999999992,20707,B01003_001,36352,1204,42.583626760563384
20708,789,54085.47,20708,B01003_001,27909,1610,28.270450392346554
20710,72,2001.2699999999995,20710,B01003_001,9781,194,7.361210510172784
20711,727,37307.29999999996,20711,B01003_001,7435,1156,97.78076664425018
20712,173,4516.9000000000005,20712,B01003_001,9630,483,17.964693665628243
20714,382,12063.769999999988,20714,B01003_001,4767,973,80.13425634571009
20715,4184,142469.33000000103,20715,B01003_001,26244,1068,159.42691662856274
20716,1680,27480.630000000012,20716,B01003_001,22340,1189,75.20143240823634
20720,1111,34529.47999999995,20720,B01003_001,26253,1812,42.31897306974441
20721,535,14887.369999999986,20721,B01003_001,30785,2089,17.37859347084619
20722,233,3351.6400000000003,20722,B01003_001,6218,528,37.47185590221936
20723,1100,43215.24999999997,20723,B01003_001,35845,1960,30.687683079927464
20724,696,11786.809999999992,20724,B01003_001,18345,1551,37.93949304987735
20732,1193,30932.33999999991,20732,B01003_001,10676,625,111.74597227426001
20733,781,35883.32,20733,B01003_001,2669,658,292.61895841139
20735,1180,22491.139999999927,20735,B01003_001,39399,1539,29.949998730932258
20736,765,36527.33999999994,20736,B01003_001,9274,835,82.48867802458486
20737,225,5443.21,20737,B01003_001,24438,1646,9.206972747360668
20740,1193,56220.70999999998,20740,B01003_001,36583,785,32.61077549681546
20742,1,1,20742,B01003_001,4263,645,0.2345765892563922
20743,183,4492.559999999999,20743,B01003_001,38692,2248,4.729659878010958
20744,2353,35052.24999999999,20744,B01003_001,55820,2945,42.15335005374418
20745,1032,53411.80999999974,20745,B01003_001,29355,1871,35.155850792028616
